Name: 山东农科, URL: http://139.129.231.228:50060/rtp/239.21.1.183:5002$山东电信组播源, Date: 2024-02-06, Delay: 2495 ms, Speed: 0.03 M/s, Resolution: None
Name: 山东农科, URL: http://139.129.231.228:3529/rtp/239.21.1.183:5002$山东电信组播源, Date: 2024-02-06, Delay: 5582 ms, Speed: 0.02 M/s, Resolution: None
Name: 山东农科, URL: http://58.57.40.22:9901/tsfile/live/1022_1.m3u8$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 山东齐鲁, URL: http://61.156.228.12:8154/tsfile/live/1001_1.m3u8$订阅源, Date: None, Delay: 508 ms, Speed: 0.20 M/s, Resolution: None
Name: 山东齐鲁, URL: http://112.234.21.109:9901/tsfile/live/1006_1.m3u8$订阅源, Date: None, Delay: 503 ms, Speed: 0.28 M/s, Resolution: None
Name: 山东齐鲁, URL: http://111.14.181.15:9901/tsfile/live/1000_1.m3u8$订阅源, Date: None, Delay: 716 ms, Speed: 0.05 M/s, Resolution: None
Name: 山东齐鲁, URL: http://139.129.231.228:50060/rtp/239.21.1.134:5002$山东电信组播源, Date: 2024-02-06, Delay: 2495 ms, Speed: 0.03 M/s, Resolution: None
Name: 山东齐鲁, URL: http://139.129.231.228:3529/rtp/239.21.1.134:5002$山东电信组播源, Date: 2024-02-06, Delay: 5582 ms, Speed: 0.02 M/s, Resolution: None
Name: 山东齐鲁, URL: http://60.210.100.54:352/tsfile/live/1001_1.m3u8$订阅源, Date: None, Delay: 940 ms, Speed: 0.04 M/s, Resolution: None
Name: 山东齐鲁, URL: http://123.129.70.178:9901/tsfile/live/0019_1.m3u8$订阅源, Date: None, Delay: 804 ms, Speed: 0.04 M/s, Resolution: None
Name: 山东齐鲁, URL: http://123.130.84.106:8154/tsfile/live/1001_1.m3u8$订阅源, Date: None, Delay: 1553 ms, Speed: 0.04 M/s, Resolution: None
Name: 山东齐鲁, URL: http://221.2.148.205:8154/tsfile/live/1001_1.m3u8$订阅源, Date: None, Delay: 524 ms, Speed: 0.09 M/s, Resolution: None
Name: 山东齐鲁, URL: http://124.128.73.58:9901/tsfile/live/1000_1.m3u8$订阅源, Date: None, Delay: 510 ms, Speed: 0.16 M/s, Resolution: None
Name: 山东生活, URL: http://144.52.160.109:9901/tsfile/live/1023_1.m3u8$订阅源, Date: None, Delay: 1094 ms, Speed: 0.06 M/s, Resolution: None
Name: 山东生活, URL: http://112.234.21.109:9901/tsfile/live/1003_1.m3u8$订阅源, Date: None, Delay: 503 ms, Speed: 0.28 M/s, Resolution: None
